id,sku,name,sellingPrice,fullSize,thumbnail,active,published,type,parentId,colorVariantAttributes,sizeVariantAttributes,surchargeType,surchargeValue
aaa111lsn67hugedwelling0,aaa111lsn67hugedwelling00000,AAA111 LSN67 Huge Dwelling 0,88,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0.jpg,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-thumbnail.jpg,true,true,PARENT,,,,,
aaa111lsn67hugedwelling0originalmedium,aaa111lsn67hugedwelling0originalmedium0000,AAA111 LSN67 Huge Dwelling 0,,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-original.jpg,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-original-thumbnail.jpg,true,true,VARIANT,aaa111lsn67hugedwelling0,original|https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-original-thumbnail.jpg||Original,medium|||Medium,ABSOLUTE,10
aaa111lsn67hugedwelling0originalsmall,aaa111lsn67hugedwelling0originalsmall0000,AAA111 LSN67 Huge Dwelling 0,,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-original.jpg,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-original-thumbnail.jpg,true,true,VARIANT,aaa111lsn67hugedwelling0,original|https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-original-thumbnail.jpg||Original,small|||Small,ABSOLUTE,0
aaa111lsn67hugedwelling0originallarge,aaa111lsn67hugedwelling0originallarge0000,AAA111 LSN67 Huge Dwelling 0,,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-original.jpg,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-original-thumbnail.jpg,true,true,VARIANT,aaa111lsn67hugedwelling0,original|https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-original-thumbnail.jpg||Original,large|||Large,ABSOLUTE,20
aaa111lsn67hugedwelling0invmedium,aaa111lsn67hugedwelling0invmedium0000,AAA111 LSN67 Huge Dwelling 0,,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-inv.jpg,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-inv-thumbnail.jpg,true,true,VARIANT,aaa111lsn67hugedwelling0,inv|https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-inv-thumbnail.jpg||Inverse,medium|||Medium,ABSOLUTE,10
aaa111lsn67hugedwelling0invsmall,aaa111lsn67hugedwelling0invsmall0000,AAA111 LSN67 Huge Dwelling 0,,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-inv.jpg,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-inv-thumbnail.jpg,true,true,VARIANT,aaa111lsn67hugedwelling0,inv|https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-inv-thumbnail.jpg||Inverse,small|||Small,ABSOLUTE,0
aaa111lsn67hugedwelling0invlarge,aaa111lsn67hugedwelling0invlarge0000,AAA111 LSN67 Huge Dwelling 0,,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-inv.jpg,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-inv-thumbnail.jpg,true,true,VARIANT,aaa111lsn67hugedwelling0,inv|https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-inv-thumbnail.jpg||Inverse,large|||Large,ABSOLUTE,20
aaa111lsn67hugedwelling0wbmedium,aaa111lsn67hugedwelling0wbmedium0000,AAA111 LSN67 Huge Dwelling 0,,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-wb.jpg,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-wb-thumbnail.jpg,true,true,VARIANT,aaa111lsn67hugedwelling0,wb|https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-wb-thumbnail.jpg||White and black,medium|||Medium,ABSOLUTE,10
aaa111lsn67hugedwelling0wbsmall,aaa111lsn67hugedwelling0wbsmall0000,AAA111 LSN67 Huge Dwelling 0,,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-wb.jpg,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-wb-thumbnail.jpg,true,true,VARIANT,aaa111lsn67hugedwelling0,wb|https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-wb-thumbnail.jpg||White and black,small|||Small,ABSOLUTE,0
aaa111lsn67hugedwelling0wblarge,aaa111lsn67hugedwelling0wblarge0000,AAA111 LSN67 Huge Dwelling 0,,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-wb.jpg,https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-wb-thumbnail.jpg,true,true,VARIANT,aaa111lsn67hugedwelling0,wb|https://dplekh-avatars-project.surge.sh/images/AAA111-LSN67-Huge-Dwelling-0-wb-thumbnail.jpg||White and black,large|||Large,ABSOLUTE,20
